Sprint,Task ID,Task Description,Assigned To,Priority,Story Points,Estimated Hours,Actual Hours,Status,Start Date,End Date,Notes
Sprint 3,T-031,Implement occupancy bar chart,Member 4,Medium,3,3,3,Done,2026-03-23,2026-03-24,Custom Graphics2D painted chart
Sprint 3,T-032,Implement reservation pie chart,Member 4,Medium,3,3,3,Done,2026-03-24,2026-03-25,Custom painted pie with legend
Sprint 3,T-033,Implement ReportsPanel framework,Member 5,High,3,4,4,Done,2026-03-20,2026-03-22,Date range and 4 report type buttons
Sprint 3,T-034,Implement Booking Report,Member 5,High,3,4,4,Done,2026-03-22,2026-03-24,Date-filtered report with stats and table
Sprint 3,T-035,Implement Revenue Analysis Report,Member 5,High,3,4,4,Done,2026-03-24,2026-03-26,Per-train revenue with bar chart
Sprint 3,T-036,Implement Utilization Report,Member 6,Medium,2,3,3,Done,2026-03-24,2026-03-26,Occupancy rates and high-utilization count
Sprint 3,T-037,Implement Passenger Activity Report,Member 6,Medium,2,3,3,Done,2026-03-26,2026-03-27,Per-passenger bookings and spending
Sprint 3,T-038,Prepare Test Plan and Test Cases,Member 1,High,3,6,6,Done,2026-03-25,2026-03-29,61 test cases across 7 modules
Sprint 3,T-039,Execute test cases and document results,Member 2,High,3,4,4,Done,2026-03-29,2026-03-31,All 61 tests passed
Sprint 3,T-040,Final integration and regression testing,All Members,High,3,4,4,Done,2026-03-31,2026-04-01,Complete system end-to-end testing
Sprint 3,T-041,Set up GitHub repository and first release,Team Lead,High,2,3,3,Done,2026-04-01,2026-04-02,All team members added as collaborators
Sprint 3,T-042,Prepare presentation slides,Member 3,Medium,3,4,4,Done,2026-04-02,2026-04-04,Covers all modules and demo
Sprint 3,T-043,Write README and finalize docs,Team Lead,Medium,2,3,3,Done,2026-04-04,2026-04-05,Build instructions and feature summary
